Event Name,Description,Location,Event Date,Volunteer Name,Participation Date,Hours Volunteered,Role
Logistics Day,,Warehouse T,Tue Nov 19 2024 00:00:00 GMT-0600 (Central Standard Time),Chloe Taylor,Tue Nov 19 2024 00:00:00 GMT-0600 (Central Standard Time),3.50,Logistics Support
Speaker Series,,Conference Room L,Mon Nov 18 2024 00:00:00 GMT-0600 (Central Standard Time),Jack Lee,Mon Nov 18 2024 00:00:00 GMT-0600 (Central Standard Time),7.50,Speaker Assistance
First Aid Training,,Clinic R,Sun Nov 17 2024 00:00:00 GMT-0600 (Central Standard Time),Mia Walker,Sun Nov 17 2024 00:00:00 GMT-0600 (Central Standard Time),4.00,First Aid Volunteer
Media Workshop,,Studio N,Sat Nov 16 2024 00:00:00 GMT-0600 (Central Standard Time),James Turner,Sat Nov 16 2024 00:00:00 GMT-0600 (Central Standard Time),3.00,Media Support
Stage Performance,,Theater M,Fri Nov 15 2024 00:00:00 GMT-0600 (Central Standard Time),Sophia Wright,Fri Nov 15 2024 00:00:00 GMT-0600 (Central Standard Time),2.00,Stage Management
Medical Camp,,Clinic K,Thu Nov 14 2024 00:00:00 GMT-0600 (Central Standard Time),Daniel Green,Thu Nov 14 2024 00:00:00 GMT-0600 (Central Standard Time),6.50,Medical Aid Volunteer
Charity Auction,,Event Hall P,Wed Nov 13 2024 00:00:00 GMT-0600 (Central Standard Time),Emily Adams,Wed Nov 13 2024 00:00:00 GMT-0600 (Central Standard Time),5.00,Registration Coordinator
Volunteers Meet-up,,Hotel W,Tue Nov 12 2024 00:00:00 GMT-0600 (Central Standard Time),Paul Scott,Tue Nov 12 2024 00:00:00 GMT-0600 (Central Standard Time),3.00,Volunteer Coordination
Music Festival,,Arena Q,Mon Nov 11 2024 00:00:00 GMT-0600 (Central Standard Time),Olivia King,Mon Nov 11 2024 00:00:00 GMT-0600 (Central Standard Time),4.50,Event Host
Public Speaking,,Auditorium Y,Sun Nov 10 2024 00:00:00 GMT-0600 (Central Standard Time),Samuel Clark,Sun Nov 10 2024 00:00:00 GMT-0600 (Central Standard Time),8.00,Speaker Assistance
Clean-up Drive,,Beach Z,Sat Nov 09 2024 00:00:00 GMT-0600 (Central Standard Time),Nina Harris,Sat Nov 09 2024 00:00:00 GMT-0600 (Central Standard Time),2.50,Event Cleanup
Logistics Training,,Warehouse X,Fri Nov 08 2024 00:00:00 GMT-0600 (Central Standard Time),Michael Baker,Fri Nov 08 2024 00:00:00 GMT-0600 (Central Standard Time),3.50,Logistics Support
Media Awareness,,Hall D,Thu Nov 07 2024 00:00:00 GMT-0600 (Central Standard Time),Lisa Rogers,Thu Nov 07 2024 00:00:00 GMT-0600 (Central Standard Time),7.50,Media Coverage
Art Festival,,Gallery C,Wed Nov 06 2024 00:00:00 GMT-0600 (Central Standard Time),Mark Jones,Wed Nov 06 2024 00:00:00 GMT-0600 (Central Standard Time),4.00,Workshop Coordinator
Tech Workshop,,Tech Hub,Tue Nov 05 2024 00:00:00 GMT-0600 (Central Standard Time),Carla Moore,Tue Nov 05 2024 00:00:00 GMT-0600 (Central Standard Time),6.00,Tech Support
Blood Donation Camp,,Hospital B,Mon Nov 04 2024 00:00:00 GMT-0600 (Central Standard Time),new ,Mon Nov 04 2024 00:00:00 GMT-0600 (Central Standard Time),2.00,Crowd Management
Charity Run,,City Square,Sun Nov 03 2024 00:00:00 GMT-0500 (Central Daylight Time),Profile Complete,Sun Nov 03 2024 00:00:00 GMT-0500 (Central Daylight Time),5.00,Event Setup Team
Food Drive,,Community Center,Sat Nov 02 2024 00:00:00 GMT-0500 (Central Daylight Time),Profile Complete,Sat Nov 02 2024 00:00:00 GMT-0500 (Central Daylight Time),3.00,Food Distribution Volunteer
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
